project_name,farm_name,farm_code,planned_start_date,expected_finish_date,project_notes,house_name,house_code,product_name,product_code,expected_qty,uom_name,season,activity_description
مشروع طماطم الربيع 2024,مزرعة الواحة,F001,2024-01-15,2024-06-30,مشروع إنتاج الطماطم لموسم الربيع,بيت 1,H001,طماطم,7001,5000,kg,الربيع 2024,زراعة طماطم صنف هجين
مشروع طماطم الربيع 2024,مزرعة الواحة,F001,2024-01-15,2024-06-30,,بيت 2,H002,طماطم,7001,5000,kg,الربيع 2024,زراعة طماطم صنف هجين
مشروع طماطم الربيع 2024,مزرعة الواحة,F001,2024-01-15,2024-06-30,,بيت 3,H003,طماطم,7001,4500,kg,الربيع 2024,زراعة طماطم
مشروع خيار الصيف 2024,مزرعة الواحة,F001,2024-03-01,2024-08-31,مشروع إنتاج الخيار لموسم الصيف,بيت 6,H006,خيار,7002,6000,kg,الصيف 2024,زراعة خيار
مشروع خيار الصيف 2024,مزرعة الواحة,F001,2024-03-01,2024-08-31,,بيت 7,H007,خيار,7002,6000,kg,الصيف 2024,زراعة خيار
مشروع فلفل متنوع 2024,مزرعة الواحة,F001,2024-02-01,2024-07-31,مشروع إنتاج الفلفل بأنواعه,بيت 8,H008,فلفل أخضر,7003,3000,kg,2024,زراعة فلفل أخضر
مشروع فلفل متنوع 2024,مزرعة الواحة,F001,2024-02-01,2024-07-31,,بيت 9,H009,فلفل أحمر,7004,2500,kg,2024,زراعة فلفل أحمر
مشروع فلفل متنوع 2024,مزرعة الواحة,F001,2024-02-01,2024-07-31,,بيت 10,H010,فلفل أصفر,7005,2500,kg,2024,زراعة فلفل أصفر
مشروع طماطم النخيل 2024,مزرعة النخيل,F002,2024-02-01,2024-07-15,مشروع طماطم مزرعة النخيل,بيت A1,HA1,طماطم,7001,7000,kg,2024,طماطم عضوية
مشروع طماطم النخيل 2024,مزرعة النخيل,F002,2024-02-01,2024-07-15,,بيت A2,HA2,طماطم,7001,7000,kg,2024,طماطم عضوية
مشروع خضروات متنوعة,مزرعة النخيل,F002,2024-03-15,2024-09-30,مشروع خضروات متنوعة,بيت B1,HB1,باذنجان,7006,4000,kg,2024,زراعة باذنجان
مشروع خضروات متنوعة,مزرعة النخيل,F002,2024-03-15,2024-09-30,,بيت B2,HB2,كوسا,7007,3500,kg,2024,زراعة كوسا
مشروع خضروات متنوعة,مزرعة النخيل,F002,2024-03-15,2024-09-30,,بيت C1,HC1,فاصوليا,7008,2000,kg,2024,زراعة فاصوليا
مشروع خضروات متنوعة,مزرعة النخيل,F002,2024-03-15,2024-09-30,,بيت C2,HC2,بازلاء,7009,1800,kg,2024,زراعة بازلاء
مشروع الإنتاج الرئيسي,مزرعة الخضراء,F003,2024-01-01,2024-12-31,مشروع إنتاج سنوي شامل,بيت إنتاج 1,HP1,طماطم,7001,10000,kg,2024,إنتاج طماطم رئيسي
مشروع الإنتاج الرئيسي,مزرعة الخضراء,F003,2024-01-01,2024-12-31,,بيت إنتاج 2,HP2,خيار,7002,9000,kg,2024,إنتاج خيار رئيسي
مشروع الإنتاج الرئيسي,مزرعة الخضراء,F003,2024-01-01,2024-12-31,,بيت إنتاج 3,HP3,فلفل أخضر,7003,5000,kg,2024,إنتاج فلفل
مشروع الإنتاج الرئيسي,مزرعة الخضراء,F003,2024-01-01,2024-12-31,,بيت إنتاج 4,HP4,فلفل أحمر,7004,4500,kg,2024,إنتاج فلفل
مشروع تجريبي,مزرعة الخضراء,F003,2024-04-01,2024-10-31,مشروع تجريبي لأصناف جديدة,بيت تجريبي 1,HT1,فراولة,7010,1000,kg,2024,تجربة فراولة
مشروع تجريبي,مزرعة الخضراء,F003,2024-04-01,2024-10-31,,بيت تجريبي 2,HT2,خس,7011,800,kg,2024,تجربة خس
